p/c, iter, r∞, r₂, ω
, 1, 0.0020761564, 2.3052908e-5, 1.0
c, 0, 0.04001216, 0.012193074, 1.0
, 1, 0.0010441411, 9.845762e-6, 1.0
p, 0, 0.08006379, 0.038215797, 1.0
, 1, 0.0020857304, 2.3533648e-5, 1.0
c, 0, 0.040195443, 0.014340234, 1.0
, 1, 0.0010489188, 9.284449e-6, 1.0
p, 0, 0.08043184, 0.039247528, 1.0
, 1, 0.0020952187, 2.4448795e-5, 1.0
c, 0, 0.040378958, 0.01314352, 1.0
, 1, 0.0010534897, 8.680857e-6, 1.0
p, 0, 0.08079776, 0.03950693, 1.0
, 1, 0.0021045804, 2.462613e-5, 1.0
c, 0, 0.04055994, 0.01247839, 1.0
, 1, 0.0010582283, 8.695283e-6, 1.0
p, 0, 0.08115963, 0.038273223, 1.0
, 1, 0.0021141246, 2.3466371e-5, 1.0
c, 0, 0.040743455, 0.013121868, 1.0
, 1, 0.0010629315, 8.119638e-6, 1.0
p, 0, 0.081525855, 0.040384118, 1.0
, 1, 0.0021234937, 2.4860761e-5, 1.0
c, 0, 0.040925592, 0.014761549, 1.0
, 1, 0.001067616, 1.0212231e-5, 1.0
p, 0, 0.08189177, 0.040904064, 1.0
, 1, 0.0021329336, 2.543594e-5, 1.0
c, 0, 0.041108757, 0.014397671, 1.0
, 1, 0.001072308, 1.1215816e-5, 1.0
p, 0, 0.08225686, 0.039408095, 1.0
, 1, 0.0021423846, 2.4179913e-5, 1.0
c, 0, 0.041290805, 0.013190107, 1.0
, 1, 0.001076933, 9.8918035e-6, 1.0
p, 0, 0.082621306, 0.04058691, 1.0
, 1, 0.0021516457, 2.5002159e-5, 1.0
c, 0, 0.04147294, 0.0139844315, 1.0
, 1, 0.0010815766, 9.887249e-6, 1.0
p, 0, 0.08298545, 0.040361874, 1.0
, 1, 0.002161011, 2.4742216e-5, 1.0
c, 0, 0.041653767, 0.013277775, 1.0
, 1, 0.0010861177, 9.6627455e-6, 1.0
p, 0, 0.08334786, 0.04096319, 1.0
, 1, 0.00217041, 2.5175137e-5, 1.0
c, 0, 0.041837856, 0.012870301, 1.0
, 1, 0.0010908805, 9.446131e-6, 1.0
p, 0, 0.08371608, 0.04194274, 1.0
, 1, 0.00218001, 2.5843061e-5, 1.0
c, 0, 0.042018197, 0.01265606, 1.0
, 1, 0.001095647, 9.456259e-6, 1.0
p, 0, 0.08407539, 0.042439535, 1.0
